layer,expert,count
10,13,7037
10,14,23985
10,15,0
10,16,1724
10,17,209
10,18,34577
10,19,540
10,20,105
10,21,0
10,22,3608
10,23,2041
10,24,0
10,25,143
10,26,8762
10,27,1167
10,28,1154
10,29,43374
10,30,6297
10,31,4584
10,32,8133
10,33,30890
10,34,0
10,35,20972
10,36,2583
10,37,619
10,38,4020
10,39,5242
10,40,3736
10,41,3637
10,42,4157
10,43,4166
10,44,143
10,45,7081
10,46,7927
10,47,4161
10,48,0
10,49,934
10,50,426
10,51,3053
10,52,21644
10,53,43797
10,54,0
10,55,0
10,56,6229
10,57,40352
10,58,1656
10,59,17052
10,60,10884
10,61,0
10,62,19608
10,63,2140
10,64,11473
10,65,60
10,66,26473
10,67,1868
10,68,2395
10,69,8805
10,70,3446
10,71,16201
10,72,843
10,73,6225
10,74,233
10,75,549
10,76,1560
10,77,13142
10,78,428
10,79,2566
10,80,4119
10,81,27174
10,82,10733
10,83,3154
10,84,295
10,85,27585
10,86,3671
10,87,323
10,88,2254
10,89,180
10,90,642
10,91,4019
10,92,2269
10,93,7860
10,94,11785
10,95,575
10,96,19597
10,97,950
10,98,0
10,99,814
10,100,953
10,101,60
10,102,887
10,103,20250
10,104,698
10,105,1054
10,106,15610
10,107,0
10,108,2889
10,109,0
10,110,37772
10,111,8840
10,112,1645
10,113,994
10,114,1090
10,115,15509
10,116,1068
10,117,6116
10,118,29731
10,119,4893
10,120,1152
10,121,3941
10,122,2752
10,123,21124
10,124,42786
10,125,3977
10,126,57
10,127,0
11,0,934
11,1,2056
11,2,0
11,3,53732
11,4,4764
11,5,1786
11,6,4482
11,7,2604
11,8,4730
11,9,0
11,10,39324
11,11,2188
11,12,4988
11,13,2414
11,14,14569
11,15,395
11,16,17637
11,17,13477
11,18,6845
11,19,315
11,20,7776
11,21,626
11,22,435
11,23,18152
11,24,2166
11,25,597
11,26,0
11,27,18499
11,28,8476
11,29,0
11,30,2220
11,31,5073
11,32,1967
11,33,0
11,34,262
11,35,880
11,36,15601
11,37,16163
11,38,3000
11,39,325
11,40,26920
11,41,4206
11,42,161
11,43,5876
11,44,1681
11,45,0
11,46,2712
11,47,5022
11,48,16218
11,49,2282
11,50,11883
11,51,3669
11,52,0
11,53,2726
11,54,19016
11,55,5702
11,56,52296
11,57,143
11,58,257
11,59,2938
11,60,26778
11,61,14245
11,62,12201
11,63,1254
11,64,18454
11,65,40045
11,66,1403
11,67,0
11,68,43953
11,69,1525
11,70,2164
11,71,2824
11,72,2385
11,73,2595
11,74,10909
11,75,0
11,76,9469
11,77,2450
11,78,5501
11,79,3260
11,80,14732
11,81,2243
11,82,0
11,83,3445
11,84,11765
11,85,1496
11,86,0
11,87,3411
11,88,36207
11,89,746
11,90,8392
11,91,2642
11,92,4202
11,93,371
11,94,2282
11,95,3626
11,96,0
11,97,0
11,98,18767
11,99,2266
11,100,949
11,101,326
11,102,9014
11,103,6267
11,104,566
11,105,4134
11,106,405
11,107,0
11,108,2274
11,109,1426
11,110,11993
11,111,56616
11,112,12653
11,113,6485
11,114,8664
11,115,0
11,116,0
11,117,2000
11,118,11869
11,119,462
11,120,10637
11,121,0
11,122,6129
11,123,116
11,124,8155
11,125,1362
11,126,259
11,127,76065
12,0,14744
12,1,2089
12,2,8761
12,3,1857
12,4,936
12,5,10471
12,6,1346
12,7,120
12,8,5380
12,9,3241
12,10,5025
12,11,13680
12,12,4155
12,13,995
12,14,8875
12,15,4611
12,16,18387
12,17,5010
12,18,42963
12,19,1462
12,20,6831
12,21,35000
12,22,6316
12,23,12823
12,24,1056
12,25,62212
12,26,1773
12,27,19786
12,28,5761
12,29,0
12,30,0
12,31,10981
12,32,2613
12,33,8457
12,34,238
12,35,3750
12,36,927
12,37,114
12,38,2058
12,39,29169
12,40,4607
12,41,1256
12,42,1618
12,43,11542
12,44,1443
12,45,5481
12,46,119
12,47,2900
12,48,1182
12,49,2193
12,50,34825
12,51,2236
12,52,2033
12,53,29932
12,54,1872
12,55,8279
12,56,10151
12,57,6859
12,58,961
12,59,57
12,60,7926
12,61,285
12,62,727
12,63,3764
12,64,5252
12,65,0
12,66,3017
12,67,2714
12,68,35214
12,69,9760
12,70,1555
12,71,41181
12,72,6890
12,73,23874
12,74,42025
12,75,3026
12,76,846
12,77,1053
12,78,13338
12,79,2910
12,80,6149
12,81,16563
12,82,4569
12,83,36980
12,84,2419
12,85,14258
12,86,2386
12,87,809
12,88,4014
12,89,120
12,90,4212
12,91,404
12,92,1657
12,93,436
12,94,10894
12,95,1289
12,96,398
12,97,2311
12,98,404
12,99,9697
12,100,0
12,101,298
12,102,6907
12,103,32932
12,104,323
12,105,5419
12,106,1831
12,107,6071
12,108,23498
12,109,2598
12,110,483
12,111,306
12,112,941
12,113,26206
12,114,0
12,115,1735
12,116,2945
12,117,3425
12,118,7978
12,119,6476
12,120,6397
12,121,180
12,122,5841
12,123,11230
12,124,557
12,125,4652
12,126,14073
12,127,7853
13,0,2940
13,1,19349
13,2,4634
13,3,60
13,4,13093
13,5,8794
13,6,2964
13,7,38203
13,8,18264
13,9,3922
13,10,2346
13,11,1833
13,12,14920
13,13,2257
13,14,910
13,15,961
13,16,1962
13,17,0
13,18,7121
13,19,81
13,20,67
13,21,0
13,22,15068
13,23,991
13,24,6308
13,25,32362
13,26,2315
13,27,934
13,28,0
13,29,129
13,30,7677
13,31,43481
13,32,3174
13,33,347
13,34,13758
13,35,18869
13,36,5498
13,37,1114
13,38,390
13,39,5121
13,40,1000
13,41,10721
13,42,43129
13,43,731
13,44,5028
13,45,11942
13,46,1343
13,47,1663
13,48,382
13,49,6960
13,50,285
13,51,266
13,52,254
13,53,4656
13,54,10963
13,55,0
13,56,16076
13,57,402
13,58,4579
13,59,1695
13,60,29669
13,61,12144
13,62,2585
13,63,994
13,64,7491
13,65,6602
13,66,12421
13,67,5481
13,68,1565
13,69,1563
13,70,1769
13,71,2350
13,72,7024
13,73,3471
13,74,26555
13,75,431
13,76,1671
13,77,7323
13,78,7863
13,79,17650
13,80,2508
13,81,12548
13,82,5651
13,83,3016
13,84,1347
13,85,3933
13,86,3556
13,87,292
13,88,2243
13,89,3958
13,90,25014
13,91,0
13,92,12019
13,93,8309
13,94,9292
13,95,3925
13,96,2593
13,97,347
13,98,6134
13,99,461
13,100,29672
13,101,60
13,102,4336
13,103,809
13,104,219
13,105,3664
13,106,512
13,107,9271
13,108,310
13,109,7511
13,110,0
13,111,934
13,112,63
13,113,7070
13,114,54485
13,115,933
13,116,1134
13,117,3298
13,118,1175
13,119,689
13,120,60007
13,121,23163
13,122,13527
13,123,0
13,124,25628
13,125,3649
13,126,59642
13,127,179
14,0,821
14,1,10881
14,2,485
14,3,143
14,4,5221
14,5,649
14,6,6109
14,7,2218
14,8,3278
14,9,4720
14,10,3962
14,11,3298
14,12,5190
14,13,9321
14,14,3346
14,15,2670
14,16,3821
14,17,1062
14,18,1952
14,19,203
14,20,887
14,21,9895
14,22,8486
14,23,3874
14,24,301
14,25,285
14,26,19498
14,27,5287
14,28,933
14,29,2494
14,30,6946
14,31,3198
14,32,2303
14,33,1729
14,34,789
14,35,442
14,36,7493
14,37,2430
14,38,4180
14,39,7151
14,40,93613
14,41,3721
14,42,1107
14,43,6510
14,44,5211
14,45,228
14,46,2558
14,47,602
14,48,2449
14,49,6148
14,50,843
14,51,9965
14,52,1557
14,53,7140
14,54,2749
14,55,7884
14,56,15689
14,57,4305
14,58,11983
14,59,14539
14,60,3576
14,61,1506
14,62,2218
14,63,622
14,64,15254
14,65,85
14,66,646
14,67,2785
14,68,18115
14,69,10409
14,70,480
14,71,1949
14,72,15642
14,73,1099
14,74,6104
14,75,10490
14,76,843
14,77,27125
14,78,5262
14,79,17776
14,80,2272
14,81,5555
14,82,0
14,83,21874
14,84,186
14,85,1608
14,86,43964
14,87,3269
14,88,0
14,89,3118
14,90,26644
14,91,1531
14,92,60
14,93,22747
14,94,9074
14,95,3106
14,96,2787
14,97,17890
14,98,1555
14,99,0
14,100,15395
14,101,8501
14,102,57
14,103,6713
14,104,59
14,105,688
14,106,10004
14,107,394
14,108,3399
14,109,393
14,110,8561
14,111,36618
14,112,9879
14,113,6629
14,114,8977
14,115,46232
14,116,59
14,117,2404
14,118,3947
14,119,37579
14,120,15752
14,121,35224
14,122,1053
14,123,6904
14,124,24682
14,125,0
14,126,37002
14,127,6917
15,0,6655
15,1,3527
15,2,23478
15,3,0
15,4,21170
15,5,12048
15,6,19204
15,7,552
15,8,7541
15,9,1954
15,10,652
15,11,6665
15,12,5906
15,13,3712
15,14,19625
15,15,2168
15,16,2680
15,17,15125
15,18,4139
15,19,2241
15,20,274
15,21,1223
15,22,2060
15,23,57
15,24,7268
15,25,7747
15,26,13701
15,27,593
15,28,5181
15,29,2125
15,30,3779
15,31,10314
15,32,13696
15,33,714
15,34,5284
15,35,8470
15,36,1196
15,37,7115
15,38,0
15,39,3402
